2026-07-13 22:14:11,708 | 0x101 Engine ECU [0, 8]
2026-07-13 22:14:12,711 | 0x101 Engine ECU [20, 13]
2026-07-13 22:14:13,715 | 0x101 Engine ECU [40, 18]
2026-07-13 22:14:14,717 | 0x101 Engine ECU [60, 23]
2026-07-13 22:14:15,721 | 0x101 Engine ECU [80, 28]
2026-07-13 22:14:16,727 | 0x101 Engine ECU [100, 33]
2026-07-13 22:14:17,732 | 0x101 Engine ECU [80, 28]
2026-07-13 22:14:18,737 | 0x101 Engine ECU [60, 23]
2026-07-13 22:14:19,741 | 0x101 Engine ECU [40, 18]
2026-07-13 22:14:20,746 | 0x101 Engine ECU [20, 13]
2026-07-13 22:14:21,751 | 0x101 Engine ECU [0, 8]
2026-07-13 22:24:55,538 | 0x101 | Engine ECU | [0, 8]
2026-07-13 22:28:25,371 | 0x101 | Engine ECU | [0, 8]
2026-07-13 22:28:26,374 | 0x101 | Engine ECU | [20, 13]
2026-07-13 22:28:27,379 | 0x101 | Engine ECU | [40, 18]
2026-07-13 22:28:28,383 | 0x101 | Engine ECU | [60, 23]
2026-07-13 22:28:29,397 | 0x101 | Engine ECU | [80, 28]
2026-07-13 22:28:30,401 | 0x101 | Engine ECU | [100, 33]
2026-07-13 22:28:31,404 | 0x101 | Engine ECU | [80, 28]
2026-07-13 22:28:32,408 | 0x101 | Engine ECU | [60, 23]
2026-07-13 22:28:33,410 | 0x101 | Engine ECU | [40, 18]
2026-07-13 22:28:34,412 | 0x101 | Engine ECU | [20, 13]
2026-07-13 22:28:35,415 | 0x101 | Engine ECU | [0, 8]
2026-07-13 22:42:59,059 | 0x700 | Gateway ECU | [1]
2026-07-13 22:42:59,059 | 0x700 | Cluster ECU | [1]
2026-07-13 22:42:59,060 | 0x101 | Engine ECU | [0, 8]
2026-07-13 22:42:59,060 | 0x700 | Engine ECU | [1]
2026-07-13 22:42:59,060 | 0x700 | Body ECU | [1]
2026-07-13 22:43:00,061 | 0x101 | Engine ECU | [20, 13]
2026-07-13 22:43:01,063 | 0x101 | Engine ECU | [40, 18]
2026-07-13 22:43:02,065 | 0x101 | Engine ECU | [60, 23]
2026-07-13 22:43:03,068 | 0x101 | Engine ECU | [80, 28]
2026-07-13 22:43:04,061 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:04,062 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:04,062 | 0x700 | Body ECU | [1]
2026-07-13 22:43:04,063 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:04,069 | 0x101 | Engine ECU | [100, 33]
2026-07-13 22:43:05,072 | 0x101 | Engine ECU | [80, 28]
2026-07-13 22:43:06,075 | 0x101 | Engine ECU | [60, 23]
2026-07-13 22:43:07,078 | 0x101 | Engine ECU | [40, 18]
2026-07-13 22:43:08,080 | 0x101 | Engine ECU | [20, 13]
2026-07-13 22:43:09,064 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:09,065 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:09,065 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:09,065 | 0x700 | Body ECU | [1]
2026-07-13 22:43:09,082 | 0x101 | Engine ECU | [0, 8]
2026-07-13 22:43:14,068 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:14,068 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:14,068 | 0x700 | Body ECU | [1]
2026-07-13 22:43:14,068 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:19,072 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:19,074 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:19,074 | 0x700 | Body ECU | [1]
2026-07-13 22:43:19,075 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:24,074 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:24,075 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:24,076 | 0x700 | Body ECU | [1]
2026-07-13 22:43:24,076 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:29,076 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:29,079 | 0x700 | Body ECU | [1]
2026-07-13 22:43:29,080 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:29,081 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:34,077 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:34,081 | 0x700 | Body ECU | [1]
2026-07-13 22:43:34,081 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:34,082 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:39,078 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:39,082 | 0x700 | Body ECU | [1]
2026-07-13 22:43:39,083 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:39,084 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:44,079 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:44,086 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:44,086 | 0x700 | Body ECU | [1]
2026-07-13 22:43:44,087 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:49,081 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:49,088 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:49,089 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:49,089 | 0x700 | Body ECU | [1]
2026-07-13 22:43:54,082 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:54,090 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:54,091 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:54,091 | 0x700 | Body ECU | [1]
2026-07-13 22:43:59,085 | 0x700 | Gateway ECU | [1]
2026-07-13 22:43:59,091 | 0x700 | Engine ECU | [1]
2026-07-13 22:43:59,093 | 0x700 | Cluster ECU | [1]
2026-07-13 22:43:59,094 | 0x700 | Body ECU | [1]
2026-07-13 22:44:04,086 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:04,093 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:04,095 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:04,095 | 0x700 | Body ECU | [1]
2026-07-13 22:44:09,088 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:09,095 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:09,097 | 0x700 | Body ECU | [1]
2026-07-13 22:44:09,098 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:14,089 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:14,096 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:14,099 | 0x700 | Body ECU | [1]
2026-07-13 22:44:14,100 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:19,090 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:19,097 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:19,100 | 0x700 | Body ECU | [1]
2026-07-13 22:44:19,101 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:24,092 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:24,099 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:24,103 | 0x700 | Body ECU | [1]
2026-07-13 22:44:24,104 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:29,093 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:29,100 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:29,105 | 0x700 | Body ECU | [1]
2026-07-13 22:44:29,106 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:34,095 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:34,101 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:34,109 | 0x700 | Body ECU | [1]
2026-07-13 22:44:34,109 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:39,097 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:39,103 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:39,111 | 0x700 | Body ECU | [1]
2026-07-13 22:44:39,112 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:44,098 | 0x700 | Gateway ECU | [1]
2026-07-13 22:44:44,105 | 0x700 | Engine ECU | [1]
2026-07-13 22:44:44,113 | 0x700 | Body ECU | [1]
2026-07-13 22:44:44,113 | 0x700 | Cluster ECU | [1]
2026-07-13 22:44:49,099 | 0x700 | Gateway ECU | [1]
